TxSeq,StratTime,EndTime,TimeUse
5253324,2025-03-02T00:00:55.586161Z,2025-03-02T00:00:55.586163Z,2
5253325,2025-03-02T00:00:55.586149Z,2025-03-02T00:00:55.586157Z,8
5253326,2025-03-02T00:01:01.792564Z,2025-03-02T00:01:01.792569Z,5
5253327,2025-03-02T00:01:01.792557Z,2025-03-02T00:01:01.792568Z,11
5253328,2025-03-02T00:01:01.792577Z,2025-03-02T00:01:01.792581Z,4
5253329,2025-03-02T00:01:01.792572Z,2025-03-02T00:01:01.792574Z,2
5253330,2025-03-02T00:01:01.792557Z,2025-03-02T00:01:01.792567Z,10
5253331,2025-03-02T00:01:07.991457Z,2025-03-02T00:01:07.991461Z,4
5253332,2025-03-02T00:01:07.991454Z,2025-03-02T00:01:07.991462Z,8
5253333,2025-03-02T00:01:19.543994Z,2025-03-02T00:01:19.543999Z,5
5253334,2025-03-02T00:01:19.543993Z,2025-03-02T00:01:19.543994Z,1
5253335,2025-03-02T00:01:19.543981Z,2025-03-02T00:01:19.543988Z,7
5253336,2025-03-02T00:01:19.544002Z,2025-03-02T00:01:19.544004Z,2
5253337,2025-03-02T00:01:19.544004Z,2025-03-02T00:01:19.544009Z,5
5253338,2025-03-02T00:01:19.544007Z,2025-03-02T00:01:19.544009Z,2
5253339,2025-03-02T00:01:19.543995Z,2025-03-02T00:01:19.543998Z,3
5253340,2025-03-02T00:01:19.544001Z,2025-03-02T00:01:19.544004Z,3
5253341,2025-03-02T00:01:19.543997Z,2025-03-02T00:01:19.543999Z,2
5253342,2025-03-02T00:01:19.544001Z,2025-03-02T00:01:19.544003Z,2
5253343,2025-03-02T00:01:19.544005Z,2025-03-02T00:01:19.544007Z,2
5253344,2025-03-02T00:01:19.543988Z,2025-03-02T00:01:19.543996Z,8
5253345,2025-03-02T00:01:25.815647Z,2025-03-02T00:01:25.815655Z,8
5253346,2025-03-02T00:01:25.815657Z,2025-03-02T00:01:25.815661Z,4
5253347,2025-03-02T00:01:25.815642Z,2025-03-02T00:01:25.815652Z,10
5253348,2025-03-02T00:01:32.210144Z,2025-03-02T00:01:32.210147Z,3
5253349,2025-03-02T00:01:32.210133Z,2025-03-02T00:01:32.210139Z,6
5253350,2025-03-02T00:01:32.210140Z,2025-03-02T00:01:32.210147Z,7
5253351,2025-03-02T00:01:32.210131Z,2025-03-02T00:01:32.210139Z,8
5253352,2025-03-02T00:01:37.752970Z,2025-03-02T00:01:37.752978Z,8
5253353,2025-03-02T00:01:37.752970Z,2025-03-02T00:01:37.752983Z,13
5253354,2025-03-02T00:01:44.014654Z,2025-03-02T00:01:44.014663Z,9
5253355,2025-03-02T00:01:44.014640Z,2025-03-02T00:01:44.014650Z,10
5253356,2025-03-02T00:01:44.014653Z,2025-03-02T00:01:44.014655Z,2
5253357,2025-03-02T00:01:44.014657Z,2025-03-02T00:01:44.014663Z,6
5253358,2025-03-02T00:01:44.014660Z,2025-03-02T00:01:44.014661Z,1
5253359,2025-03-02T00:01:44.014655Z,2025-03-02T00:01:44.014657Z,2
5253360,2025-03-02T00:01:44.014657Z,2025-03-02T00:01:44.014659Z,2
5253361,2025-03-02T00:01:44.014667Z,2025-03-02T00:01:44.014675Z,8
5253362,2025-03-02T00:01:44.014641Z,2025-03-02T00:01:44.014648Z,7
5253363,2025-03-02T00:01:49.678945Z,2025-03-02T00:01:49.678956Z,11
5253364,2025-03-02T00:01:49.678959Z,2025-03-02T00:01:49.678965Z,6
5253365,2025-03-02T00:01:49.678959Z,2025-03-02T00:01:49.678966Z,7
5253366,2025-03-02T00:01:49.678961Z,2025-03-02T00:01:49.678962Z,1
5253367,2025-03-02T00:01:49.678964Z,2025-03-02T00:01:49.678965Z,1
5253368,2025-03-02T00:01:49.678948Z,2025-03-02T00:01:49.678955Z,7
5253369,2025-03-02T00:01:56.427846Z,2025-03-02T00:01:56.427854Z,8
5253370,2025-03-02T00:01:56.427835Z,2025-03-02T00:01:56.427843Z,8
5253371,2025-03-02T00:01:56.427846Z,2025-03-02T00:01:56.427847Z,1
5253372,2025-03-02T00:01:56.427829Z,2025-03-02T00:01:56.427841Z,12
5253373,2025-03-02T00:02:01.978191Z,2025-03-02T00:02:01.978200Z,9
5253374,2025-03-02T00:02:01.978198Z,2025-03-02T00:02:01.978202Z,4
5253375,2025-03-02T00:02:01.978188Z,2025-03-02T00:02:01.978201Z,13
