TxSeq,StratTime,EndTime,TimeUse
5298130,2025-03-02T20:45:21.861694Z,2025-03-02T20:45:21.861702Z,8
5298131,2025-03-02T20:45:21.861707Z,2025-03-02T20:45:21.861714Z,7
5298132,2025-03-02T20:45:21.861704Z,2025-03-02T20:45:21.861705Z,1
5298133,2025-03-02T20:45:21.861694Z,2025-03-02T20:45:21.861700Z,6
5298134,2025-03-02T20:45:27.533583Z,2025-03-02T20:45:27.533586Z,3
5298135,2025-03-02T20:45:27.533573Z,2025-03-02T20:45:27.533577Z,4
5298136,2025-03-02T20:45:27.533583Z,2025-03-02T20:45:27.533584Z,1
5298137,2025-03-02T20:45:27.533583Z,2025-03-02T20:45:27.533584Z,1
5298138,2025-03-02T20:45:27.533572Z,2025-03-02T20:45:27.533578Z,6
5298139,2025-03-02T20:45:33.835055Z,2025-03-02T20:45:33.835062Z,7
5298140,2025-03-02T20:45:33.835064Z,2025-03-02T20:45:33.835068Z,4
5298141,2025-03-02T20:45:33.835052Z,2025-03-02T20:45:33.835060Z,8
5298142,2025-03-02T20:45:33.835062Z,2025-03-02T20:45:33.835066Z,4
5298143,2025-03-02T20:45:33.835067Z,2025-03-02T20:45:33.835068Z,1
5298144,2025-03-02T20:45:33.835070Z,2025-03-02T20:45:33.835071Z,1
5298145,2025-03-02T20:45:33.835049Z,2025-03-02T20:45:33.835057Z,8
5298146,2025-03-02T20:45:45.696917Z,2025-03-02T20:45:45.696924Z,7
5298147,2025-03-02T20:45:45.696907Z,2025-03-02T20:45:45.696914Z,7
5298148,2025-03-02T20:45:57.607777Z,2025-03-02T20:45:57.607783Z,6
5298149,2025-03-02T20:45:57.607785Z,2025-03-02T20:45:57.607789Z,4
5298150,2025-03-02T20:45:57.607775Z,2025-03-02T20:45:57.607782Z,7
5298151,2025-03-02T20:46:03.843376Z,2025-03-02T20:46:03.843382Z,6
5298152,2025-03-02T20:46:03.843369Z,2025-03-02T20:46:03.843377Z,8
5298153,2025-03-02T20:46:03.843384Z,2025-03-02T20:46:03.843386Z,2
5298154,2025-03-02T20:46:03.843387Z,2025-03-02T20:46:03.843388Z,1
5298155,2025-03-02T20:46:03.843380Z,2025-03-02T20:46:03.843386Z,6
5298156,2025-03-02T20:46:03.843384Z,2025-03-02T20:46:03.843386Z,2
5298157,2025-03-02T20:46:03.843395Z,2025-03-02T20:46:03.843399Z,4
5298158,2025-03-02T20:46:03.843371Z,2025-03-02T20:46:03.843379Z,8
5298159,2025-03-02T20:46:10.094524Z,2025-03-02T20:46:10.094530Z,6
5298160,2025-03-02T20:46:10.094516Z,2025-03-02T20:46:10.094529Z,13
5298161,2025-03-02T20:46:10.094534Z,2025-03-02T20:46:10.094539Z,5
5298162,2025-03-02T20:46:10.094526Z,2025-03-02T20:46:10.094529Z,3
5298163,2025-03-02T20:46:10.094533Z,2025-03-02T20:46:10.094535Z,2
5298164,2025-03-02T20:46:10.094516Z,2025-03-02T20:46:10.094533Z,17
5298165,2025-03-02T20:46:15.669070Z,2025-03-02T20:46:15.669075Z,5
5298166,2025-03-02T20:46:15.669065Z,2025-03-02T20:46:15.669070Z,5
5298167,2025-03-02T20:46:15.669074Z,2025-03-02T20:46:15.669082Z,8
5298168,2025-03-02T20:46:15.669058Z,2025-03-02T20:46:15.669069Z,11
5298169,2025-03-02T20:46:21.929707Z,2025-03-02T20:46:21.929715Z,8
5298170,2025-03-02T20:46:21.929722Z,2025-03-02T20:46:21.929724Z,2
5298171,2025-03-02T20:46:21.929720Z,2025-03-02T20:46:21.929727Z,7
5298172,2025-03-02T20:46:21.929722Z,2025-03-02T20:46:21.929723Z,1
5298173,2025-03-02T20:46:21.929708Z,2025-03-02T20:46:21.929716Z,8
5298174,2025-03-02T20:46:27.751476Z,2025-03-02T20:46:27.751482Z,6
