TxSeq,StratTime,EndTime,TimeUse(sec)
5283302,2025-03-02T12:26:42.093990Z,2025-03-02T12:26:48.097642Z,6
5283309,2025-03-02T12:26:54.100553Z,2025-03-02T12:26:57.102125Z,3
5283325,2025-03-02T12:27:21.290298Z,2025-03-02T12:27:27.294773Z,6
5283335,2025-03-02T12:27:33.298033Z,2025-03-02T12:27:39.302742Z,6
5283353,2025-03-02T12:28:09.662236Z,2025-03-02T12:28:12.664967Z,3
5283354,2025-03-02T12:28:06.660690Z,2025-03-02T12:28:09.662820Z,3
5283360,2025-03-02T12:28:12.666728Z,2025-03-02T12:28:15.668612Z,3
5283364,2025-03-02T12:28:12.665838Z,2025-03-02T12:28:15.669266Z,3
5283366,2025-03-02T12:28:18.671694Z,2025-03-02T12:28:21.673461Z,3
5283373,2025-03-02T12:28:46.021948Z,2025-03-02T12:28:49.024947Z,3
5283400,2025-03-02T12:29:25.280436Z,2025-03-02T12:29:31.285877Z,6
5283402,2025-03-02T12:29:25.281665Z,2025-03-02T12:29:31.284736Z,6
5283415,2025-03-02T12:29:49.341456Z,2025-03-02T12:29:52.344045Z,3
5283420,2025-03-02T12:29:55.346440Z,2025-03-02T12:29:58.349626Z,3
5283424,2025-03-02T12:29:55.348117Z,2025-03-02T12:29:58.349932Z,3
5283435,2025-03-02T12:30:07.358622Z,2025-03-02T12:30:13.360716Z,6
5283451,2025-03-02T12:30:37.455798Z,2025-03-02T12:30:40.457518Z,3
5283459,2025-03-02T12:30:43.459514Z,2025-03-02T12:30:49.463276Z,6
5283463,2025-03-02T12:30:49.464099Z,2025-03-02T12:30:55.467813Z,6
5283501,2025-03-02T12:31:49.878640Z,2025-03-02T12:31:55.897986Z,6
5283562,2025-03-02T12:33:29.138812Z,2025-03-02T12:33:35.143157Z,6
5283567,2025-03-02T12:33:32.140639Z,2025-03-02T12:33:38.143739Z,6
5283568,2025-03-02T12:33:32.141202Z,2025-03-02T12:33:35.142926Z,3
5283575,2025-03-02T12:33:38.144069Z,2025-03-02T12:33:44.146919Z,6
5283582,2025-03-02T12:34:02.310070Z,2025-03-02T12:34:08.322304Z,6
5283588,2025-03-02T12:34:02.300910Z,2025-03-02T12:34:08.321575Z,6
5283600,2025-03-02T12:34:38.667646Z,2025-03-02T12:34:44.682046Z,6
5283622,2025-03-02T12:35:08.802323Z,2025-03-02T12:35:14.805598Z,6
5283624,2025-03-02T12:35:20.848806Z,2025-03-02T16:17:22.670358Z,13321
5283653,2025-03-02T12:36:06.116926Z,2025-03-02T12:36:09.119028Z,3
5283658,2025-03-02T12:36:12.122192Z,2025-03-02T12:36:18.126704Z,6
5283663,2025-03-02T12:36:18.126935Z,2025-03-02T12:36:24.129743Z,6
5283668,2025-03-02T12:36:24.130039Z,2025-03-02T12:36:27.130693Z,3
5283673,2025-03-02T12:36:30.133150Z,2025-03-02T12:36:33.135668Z,3
5283691,2025-03-02T12:37:18.423279Z,2025-03-02T12:37:21.426272Z,3
5283709,2025-03-02T12:37:36.437077Z,2025-03-02T12:37:42.440287Z,6
5283712,2025-03-02T12:37:42.440547Z,2025-03-02T12:37:45.441720Z,3
5283717,2025-03-02T12:37:51.446841Z,2025-03-02T12:37:54.449756Z,3
5283718,2025-03-02T12:37:48.444384Z,2025-03-02T12:37:51.446610Z,3
5283727,2025-03-02T12:38:24.614564Z,2025-03-02T12:38:27.622125Z,3
5283738,2025-03-02T12:38:36.627080Z,2025-03-02T12:38:39.629234Z,3
5283739,2025-03-02T12:38:36.627402Z,2025-03-02T12:38:39.629838Z,3
5283740,2025-03-02T12:38:36.626925Z,2025-03-02T12:38:39.628944Z,3
5283742,2025-03-02T12:38:36.627243Z,2025-03-02T12:38:39.629560Z,3
5283744,2025-03-02T12:38:42.632004Z,2025-03-02T12:38:45.633566Z,3
5283747,2025-03-02T12:38:42.632160Z,2025-03-02T12:38:45.633842Z,3
5283755,2025-03-02T12:38:51.637512Z,2025-03-02T12:38:54.639167Z,3
5283756,2025-03-02T12:38:51.637697Z,2025-03-02T12:38:54.639395Z,3
5283770,2025-03-02T12:39:18.749024Z,2025-03-02T12:39:21.749952Z,3
5283788,2025-03-02T12:39:42.832347Z,2025-03-02T12:39:45.841783Z,3
5283789,2025-03-02T12:39:48.843339Z,2025-03-02T12:39:51.846167Z,3
5283791,2025-03-02T12:39:48.844846Z,2025-03-02T12:39:51.846617Z,3
5283793,2025-03-02T12:39:48.844360Z,2025-03-02T12:39:51.846405Z,3
5283819,2025-03-02T12:40:37.097145Z,2025-03-02T12:40:40.098576Z,3
5283822,2025-03-02T12:40:43.100927Z,2025-03-02T12:40:46.103038Z,3
5283825,2025-03-02T12:40:43.101127Z,2025-03-02T12:40:46.103256Z,3
5283831,2025-03-02T12:40:58.165422Z,2025-03-02T12:41:01.178896Z,3
5283854,2025-03-02T12:41:31.279727Z,2025-03-02T12:41:34.282233Z,3
5283856,2025-03-02T12:41:43.365060Z,2025-03-02T12:41:49.374273Z,6
5283861,2025-03-02T12:41:55.437739Z,2025-03-02T12:42:01.454652Z,6
5283889,2025-03-02T12:42:37.850643Z,2025-03-02T12:42:43.863001Z,6
5283927,2025-03-02T12:43:56.305283Z,2025-03-02T12:44:02.316523Z,6
5283938,2025-03-02T12:44:20.498008Z,2025-03-02T12:44:23.499890Z,3
5283941,2025-03-02T12:44:26.501481Z,2025-03-02T12:44:29.502906Z,3
5283942,2025-03-02T12:44:29.503278Z,2025-03-02T12:44:32.504701Z,3
5283971,2025-03-02T12:45:05.730834Z,2025-03-02T12:45:08.731701Z,3
5283972,2025-03-02T12:45:05.731126Z,2025-03-02T12:45:08.732276Z,3
5283976,2025-03-02T12:45:11.735197Z,2025-03-02T12:45:14.737396Z,3
5283977,2025-03-02T12:45:11.734990Z,2025-03-02T12:45:17.739961Z,6
5283984,2025-03-02T12:45:29.866356Z,2025-03-02T12:45:35.887859Z,6
5283987,2025-03-02T12:45:35.889136Z,2025-03-02T12:45:38.890327Z,3
5283991,2025-03-02T12:45:41.892581Z,2025-03-02T12:45:44.894138Z,3
5284002,2025-03-02T12:45:53.899889Z,2025-03-02T12:45:59.902759Z,6
5284008,2025-03-02T12:46:12.014571Z,2025-03-02T12:46:15.016794Z,3
5284009,2025-03-02T12:46:12.015049Z,2025-03-02T12:46:15.017034Z,3
5284014,2025-03-02T12:46:18.019872Z,2025-03-02T12:46:21.023461Z,3
5284019,2025-03-02T12:46:18.020369Z,2025-03-02T12:46:21.023804Z,3
5284025,2025-03-02T12:46:30.030856Z,2025-03-02T12:46:33.032189Z,3
5284026,2025-03-02T12:46:30.029994Z,2025-03-02T12:46:33.031921Z,3
5284027,2025-03-02T12:46:36.033151Z,2025-03-02T12:46:39.035014Z,3
5284028,2025-03-02T12:46:36.033359Z,2025-03-02T12:46:42.036407Z,6
5284029,2025-03-02T12:46:48.111446Z,2025-03-02T12:46:51.126651Z,3
5284030,2025-03-02T12:46:57.163069Z,2025-03-02T12:47:00.178125Z,3
5284042,2025-03-02T12:47:15.279796Z,2025-03-02T12:47:21.283167Z,6
5284044,2025-03-02T12:47:12.276984Z,2025-03-02T12:47:15.280018Z,3
5284055,2025-03-02T12:47:45.609627Z,2025-03-02T12:47:51.615063Z,6
5284071,2025-03-02T12:47:54.617716Z,2025-03-02T12:47:57.618863Z,3
5284105,2025-03-02T12:49:04.152673Z,2025-03-02T12:49:10.162021Z,6
5284107,2025-03-02T12:49:07.159454Z,2025-03-02T12:49:10.161808Z,3
5284119,2025-03-02T12:49:28.392960Z,2025-03-02T12:49:31.408616Z,3
5284129,2025-03-02T12:49:43.416550Z,2025-03-02T12:49:49.419727Z,6
5284143,2025-03-02T12:50:07.489835Z,2025-03-02T12:50:10.492114Z,3
5284146,2025-03-02T12:50:16.542950Z,2025-03-02T12:50:19.554796Z,3
5284166,2025-03-02T12:50:49.723824Z,2025-03-02T12:50:52.726226Z,3
5284229,2025-03-02T12:52:47.665826Z,2025-03-02T12:52:53.669450Z,6
5284240,2025-03-02T12:53:08.737930Z,2025-03-02T12:53:14.756607Z,6
5284251,2025-03-02T12:53:35.888549Z,2025-03-02T12:53:38.900390Z,3
5284256,2025-03-02T12:53:35.888357Z,2025-03-02T12:53:41.901699Z,6
5284257,2025-03-02T12:53:35.895454Z,2025-03-02T12:53:38.900670Z,3
5284263,2025-03-02T12:53:53.978272Z,2025-03-02T12:53:56.980579Z,3
5284278,2025-03-02T12:54:12.092357Z,2025-03-02T12:54:15.094917Z,3
5284281,2025-03-02T12:54:15.095192Z,2025-03-02T12:54:18.097298Z,3
5284284,2025-03-02T12:54:18.097664Z,2025-03-02T12:54:21.099690Z,3
5284286,2025-03-02T12:54:21.100326Z,2025-03-02T12:54:27.104793Z,6
5284318,2025-03-02T12:55:21.342767Z,2025-03-02T12:55:27.345601Z,6
5284320,2025-03-02T12:55:24.343862Z,2025-03-02T12:55:27.346133Z,3
5284323,2025-03-02T12:55:27.346279Z,2025-03-02T12:55:33.350610Z,6
5284329,2025-03-02T12:55:33.351929Z,2025-03-02T12:55:36.353332Z,3
5284330,2025-03-02T12:55:33.351334Z,2025-03-02T12:55:39.355644Z,6
5284350,2025-03-02T12:56:15.733895Z,2025-03-02T12:56:18.741349Z,3
5284352,2025-03-02T12:56:18.740673Z,2025-03-02T12:56:21.743061Z,3
5284357,2025-03-02T12:56:18.741636Z,2025-03-02T12:56:21.743887Z,3
5284358,2025-03-02T12:56:18.740880Z,2025-03-02T12:56:21.743304Z,3
5284360,2025-03-02T12:56:36.867512Z,2025-03-02T12:56:39.878372Z,3
5284370,2025-03-02T12:56:48.885594Z,2025-03-02T12:56:51.886749Z,3
5284374,2025-03-02T12:56:54.888499Z,2025-03-02T12:56:57.890382Z,3
5284375,2025-03-02T12:56:54.888717Z,2025-03-02T12:56:57.890683Z,3
5284385,2025-03-02T12:57:28.125867Z,2025-03-02T12:57:31.143719Z,3
5284400,2025-03-02T12:57:52.255906Z,2025-03-02T12:57:58.260762Z,6
5284401,2025-03-02T12:57:52.245766Z,2025-03-02T12:57:55.258027Z,3
5284415,2025-03-02T12:58:13.434454Z,2025-03-02T12:58:16.436438Z,3
5284423,2025-03-02T12:58:19.438259Z,2025-03-02T12:58:22.441839Z,3
