TxSeq,StratTime,EndTime,TimeUse(us)
1459096,2025-03-02T00:18:35.749710Z,2025-03-02T00:18:35.749731Z,21
1459097,2025-03-02T00:18:47.972502Z,2025-03-02T00:18:47.972510Z,8
1459098,2025-03-02T00:18:47.972462Z,2025-03-02T00:18:47.972483Z,21
1459099,2025-03-02T00:18:59.671239Z,2025-03-02T00:18:59.671246Z,7
1459100,2025-03-02T00:18:59.671255Z,2025-03-02T00:18:59.671260Z,5
1459101,2025-03-02T00:18:59.671268Z,2025-03-02T00:18:59.671273Z,5
1459102,2025-03-02T00:18:59.671279Z,2025-03-02T00:18:59.671284Z,5
1459103,2025-03-02T00:18:59.671291Z,2025-03-02T00:18:59.671296Z,5
1459104,2025-03-02T00:18:59.671199Z,2025-03-02T00:18:59.671220Z,21
1459105,2025-03-02T00:19:05.954400Z,2025-03-02T00:19:05.954428Z,28
1459106,2025-03-02T00:19:11.632232Z,2025-03-02T00:19:11.632240Z,8
1459107,2025-03-02T00:19:11.632167Z,2025-03-02T00:19:11.632195Z,28
1459108,2025-03-02T00:19:17.583520Z,2025-03-02T00:19:17.583540Z,20
1459109,2025-03-02T00:19:24.034208Z,2025-03-02T00:19:24.034215Z,7
1459110,2025-03-02T00:19:24.034225Z,2025-03-02T00:19:24.034230Z,5
1459111,2025-03-02T00:19:24.034238Z,2025-03-02T00:19:24.034244Z,6
1459112,2025-03-02T00:19:24.034252Z,2025-03-02T00:19:24.034257Z,5
1459113,2025-03-02T00:19:24.034169Z,2025-03-02T00:19:24.034192Z,23
1459114,2025-03-02T00:19:29.857881Z,2025-03-02T00:19:29.857888Z,7
1459115,2025-03-02T00:19:29.857837Z,2025-03-02T00:19:29.857866Z,29
1459116,2025-03-02T00:19:35.779828Z,2025-03-02T00:19:35.779834Z,6
1459117,2025-03-02T00:19:35.779844Z,2025-03-02T00:19:35.779849Z,5
1459118,2025-03-02T00:19:35.779791Z,2025-03-02T00:19:35.779811Z,20
1459119,2025-03-02T00:19:47.401412Z,2025-03-02T00:19:47.401437Z,25
1459120,2025-03-02T00:19:54.151442Z,2025-03-02T00:19:54.151454Z,12
1459121,2025-03-02T00:19:54.151483Z,2025-03-02T00:19:54.151489Z,6
1459122,2025-03-02T00:19:54.148385Z,2025-03-02T00:19:54.148405Z,20
1459123,2025-03-02T00:19:59.748756Z,2025-03-02T00:19:59.748763Z,7
1459124,2025-03-02T00:19:59.748719Z,2025-03-02T00:19:59.748740Z,21
1459125,2025-03-02T00:20:05.801939Z,2025-03-02T00:20:05.801946Z,7
1459126,2025-03-02T00:20:05.801887Z,2025-03-02T00:20:05.801907Z,20
1459127,2025-03-02T00:20:18.110507Z,2025-03-02T00:20:18.110515Z,8
1459128,2025-03-02T00:20:18.110524Z,2025-03-02T00:20:18.110529Z,5
1459129,2025-03-02T00:20:18.110538Z,2025-03-02T00:20:18.110543Z,5
1459130,2025-03-02T00:20:18.110466Z,2025-03-02T00:20:18.110488Z,22
1459131,2025-03-02T00:20:24.035342Z,2025-03-02T00:20:24.035350Z,8
1459132,2025-03-02T00:20:24.035288Z,2025-03-02T00:20:24.035310Z,22
1459133,2025-03-02T00:20:29.829794Z,2025-03-02T00:20:29.829801Z,7
1459134,2025-03-02T00:20:29.829752Z,2025-03-02T00:20:29.829777Z,25
1459135,2025-03-02T00:20:48.045922Z,2025-03-02T00:20:48.045951Z,29
1459136,2025-03-02T00:20:54.082724Z,2025-03-02T00:20:54.082732Z,8
1459137,2025-03-02T00:20:54.082741Z,2025-03-02T00:20:54.082746Z,5
1459138,2025-03-02T00:20:54.082686Z,2025-03-02T00:20:54.082705Z,19
1459139,2025-03-02T00:20:59.984058Z,2025-03-02T00:20:59.984067Z,9
1459140,2025-03-02T00:20:59.984077Z,2025-03-02T00:20:59.984083Z,6
1459141,2025-03-02T00:20:59.984092Z,2025-03-02T00:20:59.984097Z,5
1459142,2025-03-02T00:20:59.984104Z,2025-03-02T00:20:59.984109Z,5
1459143,2025-03-02T00:20:59.984015Z,2025-03-02T00:20:59.984039Z,24
1459144,2025-03-02T00:21:05.706760Z,2025-03-02T00:21:05.706768Z,8
1459145,2025-03-02T00:21:05.706717Z,2025-03-02T00:21:05.706744Z,27
1459146,2025-03-02T00:21:11.649973Z,2025-03-02T00:21:11.649980Z,7
1459147,2025-03-02T00:21:11.649931Z,2025-03-02T00:21:11.649957Z,26
1459148,2025-03-02T00:21:17.671823Z,2025-03-02T00:21:17.671830Z,7
1459149,2025-03-02T00:21:17.671784Z,2025-03-02T00:21:17.671806Z,22
1459150,2025-03-02T00:21:36.044377Z,2025-03-02T00:21:36.044384Z,7
1459151,2025-03-02T00:21:36.044335Z,2025-03-02T00:21:36.044360Z,25
1459152,2025-03-02T00:21:48.148002Z,2025-03-02T00:21:48.148009Z,7
1459153,2025-03-02T00:21:48.148018Z,2025-03-02T00:21:48.148024Z,6
1459154,2025-03-02T00:21:48.148032Z,2025-03-02T00:21:48.148037Z,5
1459155,2025-03-02T00:21:48.148046Z,2025-03-02T00:21:48.148051Z,5
1459156,2025-03-02T00:21:48.147952Z,2025-03-02T00:21:48.147985Z,33
1459157,2025-03-02T00:21:53.681276Z,2025-03-02T00:21:53.681282Z,6
1459158,2025-03-02T00:21:53.681238Z,2025-03-02T00:21:53.681258Z,20
1459159,2025-03-02T00:22:00.026261Z,2025-03-02T00:22:00.026268Z,7
1459160,2025-03-02T00:22:00.026278Z,2025-03-02T00:22:00.026283Z,5
1459161,2025-03-02T00:22:00.026215Z,2025-03-02T00:22:00.026243Z,28
1459162,2025-03-02T00:22:05.954916Z,2025-03-02T00:22:05.954935Z,19
1459163,2025-03-02T00:22:11.857039Z,2025-03-02T00:22:11.873026Z,15987
1459164,2025-03-02T00:22:17.533591Z,2025-03-02T00:22:17.533597Z,6
1459165,2025-03-02T00:22:17.533549Z,2025-03-02T00:22:17.533573Z,24
1459166,2025-03-02T00:22:36.165202Z,2025-03-02T00:22:36.165208Z,6
1459167,2025-03-02T00:22:36.165217Z,2025-03-02T00:22:36.165222Z,5
1459168,2025-03-02T00:22:36.165236Z,2025-03-02T00:22:36.165243Z,7
1459169,2025-03-02T00:22:36.165159Z,2025-03-02T00:22:36.165183Z,24
1459170,2025-03-02T00:22:47.913982Z,2025-03-02T00:22:47.914012Z,30
1459171,2025-03-02T00:22:53.672891Z,2025-03-02T00:22:53.672911Z,20
1459172,2025-03-02T00:22:59.460247Z,2025-03-02T00:22:59.460254Z,7
1459173,2025-03-02T00:22:59.460264Z,2025-03-02T00:22:59.460269Z,5
1459174,2025-03-02T00:22:59.460205Z,2025-03-02T00:22:59.460230Z,25
1459175,2025-03-02T00:23:17.737000Z,2025-03-02T00:23:17.737007Z,7
1459176,2025-03-02T00:23:17.737016Z,2025-03-02T00:23:17.737021Z,5
1459177,2025-03-02T00:23:17.737029Z,2025-03-02T00:23:17.737035Z,6
1459178,2025-03-02T00:23:17.737046Z,2025-03-02T00:23:17.737051Z,5
1459179,2025-03-02T00:23:17.736957Z,2025-03-02T00:23:17.736983Z,26
1459180,2025-03-02T00:23:29.795806Z,2025-03-02T00:23:29.795832Z,26
1459181,2025-03-02T00:23:29.786408Z,2025-03-02T00:23:29.786422Z,14
1459182,2025-03-02T00:23:47.650288Z,2025-03-02T00:23:47.650309Z,21
1459183,2025-03-02T00:23:54.002805Z,2025-03-02T00:23:54.002812Z,7
1459184,2025-03-02T00:23:54.002763Z,2025-03-02T00:23:54.002786Z,23
1459185,2025-03-02T00:24:00.030952Z,2025-03-02T00:24:00.030959Z,7
1459186,2025-03-02T00:24:00.030969Z,2025-03-02T00:24:00.030975Z,6
1459187,2025-03-02T00:24:00.030983Z,2025-03-02T00:24:00.030988Z,5
1459188,2025-03-02T00:24:00.030912Z,2025-03-02T00:24:00.030936Z,24
1459189,2025-03-02T00:24:11.781972Z,2025-03-02T00:24:11.781979Z,7
1459190,2025-03-02T00:24:11.781988Z,2025-03-02T00:24:11.781993Z,5
1459191,2025-03-02T00:24:11.781933Z,2025-03-02T00:24:11.781954Z,21
1459192,2025-03-02T00:24:23.911156Z,2025-03-02T00:24:23.911178Z,22
1459193,2025-03-02T00:24:36.100484Z,2025-03-02T00:24:36.100491Z,7
1459194,2025-03-02T00:24:36.100445Z,2025-03-02T00:24:36.100468Z,23
