TxSeq,StratTime,EndTime,TimeUse(sec)
1459300,2025-03-02T00:31:16.146242Z,2025-03-02T00:31:20.261353Z,4
1459301,2025-03-02T00:31:20.388561Z,2025-03-02T00:31:23.471380Z,3
1459306,2025-03-02T00:31:51.293976Z,2025-03-02T19:30:08.134511Z,68296
1459309,2025-03-02T00:31:51.553694Z,2025-03-02T00:31:58.147737Z,6
1459310,2025-03-02T00:31:58.036168Z,2025-03-02T00:32:05.199456Z,7
1459311,2025-03-02T00:31:58.250053Z,2025-03-02T04:46:00.328783Z,15242
1459315,2025-03-02T00:32:01.705624Z,2025-03-02T00:32:09.188742Z,7
1459321,2025-03-02T00:32:23.379483Z,2025-03-02T00:32:26.582393Z,3
1459330,2025-03-02T00:33:03.623616Z,2025-03-02T05:04:09.389459Z,16265
1459333,2025-03-02T00:33:09.842173Z,2025-03-02T07:04:22.261677Z,23472
1459335,2025-03-02T00:33:19.427023Z,2025-03-02T00:33:25.764373Z,6
1459336,2025-03-02T00:33:33.368593Z,2025-03-02T00:33:37.086565Z,3
1459342,2025-03-02T00:33:44.667172Z,2025-03-02T00:33:45.034507Z,0
1459345,2025-03-02T00:33:59.583509Z,2025-03-02T00:34:09.802567Z,10
1459350,2025-03-02T00:34:20.470386Z,2025-03-02T00:34:23.692867Z,3
1459355,2025-03-02T00:34:38.202924Z,2025-03-02T00:34:41.782586Z,3
1459357,2025-03-02T00:34:45.469068Z,2025-03-02T00:34:48.665673Z,3
1459358,2025-03-02T00:34:48.654545Z,2025-03-02T08:36:21.657708Z,28893
1459363,2025-03-02T00:35:02.682541Z,2025-03-02T00:35:06.297474Z,3
1459365,2025-03-02T00:35:12.949644Z,2025-03-02T00:35:19.416737Z,6
1459367,2025-03-02T00:35:19.336452Z,2025-03-02T00:35:25.726118Z,6
1459373,2025-03-02T00:36:01.061763Z,2025-03-02T00:36:07.298113Z,6
1459375,2025-03-02T00:36:07.377544Z,2025-03-02T00:36:11.208519Z,3
1459376,2025-03-02T00:36:07.511565Z,2025-03-02T00:36:11.267241Z,3
1459381,2025-03-02T00:36:14.743386Z,2025-03-02T00:36:17.822789Z,3
1459382,2025-03-02T00:36:21.269050Z,2025-03-02T00:36:24.400033Z,3
1459383,2025-03-02T00:36:21.128435Z,2025-03-02T00:36:24.373568Z,3
1459388,2025-03-02T00:36:50.579993Z,2025-03-02T07:13:42.023955Z,23811
1459400,2025-03-02T00:37:22.051622Z,2025-03-02T00:37:28.147444Z,6
1459401,2025-03-02T00:37:25.079539Z,2025-03-02T05:34:42.968566Z,17837
1459414,2025-03-02T00:38:04.007159Z,2025-03-02T00:38:07.453443Z,3
1459415,2025-03-02T00:38:07.505600Z,2025-03-02T00:38:13.647764Z,6
1459421,2025-03-02T00:38:38.331409Z,2025-03-02T00:38:44.908597Z,6
1459423,2025-03-02T00:38:38.058744Z,2025-03-02T00:38:41.543887Z,3
1459424,2025-03-02T00:38:37.973632Z,2025-03-02T00:38:44.817165Z,6
1459427,2025-03-02T00:38:59.383218Z,2025-03-02T18:20:18.648546Z,63679
1459428,2025-03-02T00:38:58.999672Z,2025-03-02T02:48:05.260145Z,7746
