Timestamp,ScratchPad(us),ScratchPadRate,Loading(us),LoadingRate,PadMix(us),PadMixRate,Hit(us),HitRate
2025-03-02T17:52:54.622024Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:52:59.632988Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:53:04.633923Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:53:09.645411Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:53:14.646499Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:53:19.648965Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:53:24.651481Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:53:29.663740Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:53:34.696628Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:53:39.705361Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:53:44.751885Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:53:49.766515Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:53:54.771364Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:53:59.773369Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:54:04.774980Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:54:09.785024Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:54:14.787802Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:54:19.848764Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:54:24.856942Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:54:29.861451Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:54:34.884676Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:54:40.060622Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:54:45.095800Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:54:50.105449Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:54:55.109273Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:55:00.115156Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:55:05.115741Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:55:10.123421Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:55:15.129480Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:55:20.146849Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:55:25.150253Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:55:30.157320Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:55:35.162595Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:55:40.180936Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:55:45.295889Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:55:50.304262Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:55:55.430615Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:56:00.432364Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:56:05.439418Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:56:10.450140Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:56:15.498137Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:56:20.499467Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:56:25.502377Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:56:30.510804Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:56:35.513222Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:56:40.521719Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:56:45.578180Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:56:50.583331Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
2025-03-02T17:56:55.642003Z,15524124,0.00,15524124,0.00,926770276,0.00,179,0.00
